RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
F,500,2.0,CO,8.35,216.0,164.81,6.5,12.69,14.27,0.3,N,100,13.198
F,500,2.0,CO,9.95,207.4,0.0,8.08,20.0,16.99,53.3,N,800,48.1278
A,600,1.0,MC,6.61,100.0,150.0,5.93,20.0,9.8,0.09,N,80,7.917
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,150,3.326
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,750,8.5039
H,600,1.0,MC,6.32,216.0,150.0,5.93,20.0,9.8,62.4,K,80,2.8249
F,500,2.0,CO,8.35,204.0,164.81,6.5,12.69,14.27,0.3,N,700,38.9432
F,500,2.0,CO,9.95,207.4,0.0,8.08,20.0,16.99,53.3,N,400,45.815
F,500,2.0,CO,8.62,184.4,0.0,8.08,20.0,16.99,53.3,N,800,49.5595
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,450,15.3519
A,600,1.0,MC,6.61,216.0,150.0,5.93,20.0,9.8,62.4,K,880,100.0
F,550,2.0,CO,6.5,1.8,80.0,6.33,18.1,16.0,16.0,N,800,1.3077
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,1080,84.4869
F,500,2.0,CO,8.62,184.4,0.0,8.08,20.0,16.99,53.3,N,1000,51.1013
A,600,1.0,MC,6.61,216.0,150.0,5.93,20.0,9.8,62.4,K,720,80.4372
F,500,2.0,CO,8.35,216.0,164.81,6.5,12.69,14.27,0.3,N,300,32.754
F,500,2.0,CO,8.38,115.6,3.73,8.08,20.0,16.99,53.3,N,200,27.0925
F,600,1.0,MC,5.94,100.0,250.0,5.93,20.0,9.8,0.09,N,400,11.2153
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,86,56.2374
F,600,1.0,MC,5.94,216.0,250.0,5.93,20.0,9.8,62.4,K,560,41.6311
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,350,15.1403
F,550,2.0,CO,6.8,0.5,120.0,6.33,18.1,18.0,0.47,P,600,0.1002
F,500,2.0,CO,8.62,184.4,0.0,8.08,20.0,16.99,53.3,N,2600,83.1498
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,1600,67.8414
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,550,12.1702
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,650,25.3003
H,600,1.0,MC,6.32,216.0,150.0,5.93,20.0,9.8,62.4,K,160,8.6327
F,550,2.0,MC,7.2,0.0,280.0,6.33,18.1,17.0,0.47,P,600,0.0637
A,600,1.0,MC,6.61,100.0,150.0,5.93,20.0,9.8,0.09,N,480,12.5874
A,500,2.0,CO,9.01,210.0,139.6,6.5,28.24,14.27,0.3,N,200,8.9391
F,550,2.0,CO,6.8,0.5,120.0,6.33,18.1,18.0,0.47,P,900,0.1367
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,250,7.7577
