RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,720 ,16.4634 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,800 ,18.0522 
F,600 ,1.0 ,MC,5.94 ,100.00 ,250.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,880 ,19.9540 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,80 ,7.6521 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,160 ,8.3503 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,240 ,9.2171 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,320 ,10.1560 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,400 ,11.1671 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,480 ,12.1903 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,560 ,13.2616 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,640 ,15.3681 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,720 ,17.5227 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,800 ,19.4848 
H,600 ,1.0 ,MC,6.08 ,100.00 ,150.00 ,5.93 ,20.00 ,9.80 ,0.09 ,N,880 ,21.7719 
A,450 ,2.0 ,MC,10.97 ,16.23 ,49.00 ,8.08 ,5.53 ,6.58 ,24.05 ,N,100 ,1.7819 
A,450 ,2.0 ,MC,10.97 ,16.23 ,49.00 ,8.08 ,5.53 ,6.58 ,24.05 ,N,200 ,3.5549 
A,450 ,2.0 ,MC,10.97 ,16.23 ,49.00 ,8.08 ,5.53 ,6.58 ,24.05 ,N,300 ,4.0727 
A,450 ,2.0 ,MC,10.97 ,16.23 ,49.00 ,8.08 ,5.53 ,6.58 ,24.05 ,N,400 ,4.4984 
A,450 ,2.0 ,MC,10.97 ,16.23 ,49.00 ,8.08 ,5.53 ,6.58 ,24.05 ,N,500 ,5.0190 
A,450 ,2.0 ,MC,10.97 ,16.23 ,49.00 ,8.08 ,5.53 ,6.58 ,24.05 ,N,600 ,5.5265 
A,450 ,2.0 ,MC,10.97 ,16.23 ,49.00 ,8.08 ,5.53 ,6.58 ,24.05 ,N,700 ,6.1329 
A,500 ,1.0 ,MC,8.50 ,200.00 ,250.00 ,6.50 ,0.00 ,0.00 ,0.00 ,N,50 ,1.2000 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,100 ,13.1980 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,200 ,25.3218 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,300 ,32.7540 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,400 ,37.1554 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,500 ,47.0383 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,600 ,54.5847 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,700 ,62.1310 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,800 ,72.3167 
F,500 ,2.0 ,CO,8.35 ,216.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,900 ,78.9835 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,100 ,9.4303 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,200 ,13.0648 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,300 ,17.7800 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,400 ,20.7269 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,500 ,35.1670 
